fecha,fuente_nombre,fuente_url,noticia_es,noticia_en,puntaje
2022-09-11,ambito,https://www.ambito.com/,"Dólar Qatar: tras el reclamo de industriales, el dólar turista vuelve a estar en la mira","Qatar dollar: after the claim of industrialists, the tourist dollar is once again in the spotlight",0.0
2022-09-11,ambito,https://www.ambito.com/,"Boca recibe a River el domingo en la Bombonera: horario, TV y formaciones","Boca receives River on Sunday at the Bombonera: schedule, TV and formations",0.0
2022-09-11,ambito,https://www.ambito.com/,Superclásico: tres datos a tener en cuenta para el acceso,Superclassic: three data to take into account for access,0.0
2022-09-11,ambito,https://www.ambito.com/,Atentado a Cristina: Sabag Montiel intentó recargar el arma tras fallar el disparo,Attack on Cristina: Sabag Montiel tried to reload the weapon after missing the shot,-0.7579
2022-09-11,ambito,https://www.ambito.com/,Me siento millonaria: furor por la brecha de precios entre Argentina y Uruguay,I feel like a millionaire: fury over the price gap between Argentina and Uruguay,-0.296
2022-09-11,ambito,https://www.ambito.com/,A la pesca: quién es la figura que Juntos por el Cambio y Milei se disputan para 2023,Fishing: who is the figure that Together for Change and Milei dispute for 2023,-0.4019
2022-09-11,ambito,https://www.ambito.com/,Macri apuntó contra el pedido de juicio académico a Martín Tetaz: No lo vamos a permitir,Macri pointed against the request for academic trial to Martín Tetaz: We will not allow it,-0.1695
2022-09-11,ambito,https://www.ambito.com/,Allanamiento a Sabag Montiel: encontraron dos elementos clave para la causa ,Raid on Sabag Montiel: they found two key elements for the cause,0.0
2022-09-11,ambito,https://www.ambito.com/,Autos usados: las ventas sufrieron una dura caída por el efecto incertidumbre,Used cars: sales suffered a sharp drop due to the uncertainty effect,-0.7717
2022-09-11,ambito,https://www.ambito.com/,"Negri, sobre la convocatoria al diálogo del Gobierno: Es todo un acting","Negri, on the call for government dialogue: It's all an acting",0.0
2022-09-11,ambito,https://www.ambito.com/,Massa ratificó su voluntad de cumplir las metas con el FMI y espera reunirse con Georgieva,Massa confirmed his willingness to meet the goals with the IMF and hopes to meet with Georgieva,0.5994
2022-09-11,ambito,https://www.ambito.com/,Misiones lidera el mercado laboral privado del NEA,Misiones leads the private labor market of the NEA,0.0
2022-09-11,ambito,https://www.ambito.com/,Para conservadores y arriesgados: cómo armar una cartera con Fondos Comunes de Inversión,For conservatives and risk takers: how to build a portfolio with Mutual Investment Funds,-0.2732
2022-09-11,ambito,https://www.ambito.com/,El dólar soja y su impacto en las cuentas del Banco Central,The soybean dollar and its impact on the accounts of the Central Bank,0.0
2022-09-11,ambito,https://www.ambito.com/,Comercio: 3 de cada 10 vendedores no retienen a los clientes,Commerce: 3 out of 10 sellers do not retain customers,0.0
2022-09-11,ambito,https://www.ambito.com/,La triple amenaza para la Argentina por el súper dólar,The triple threat to Argentina for the super dollar,0.128
2022-09-11,ambito,https://www.ambito.com/,Inversiones: los mercados financieros y la inflación,Investing: Financial Markets and Inflation,0.0
2022-09-11,ambito,https://www.ambito.com/,China ¿la bondadosa?,China the kind?,0.5267
2022-09-11,ambito,https://www.ambito.com/,Superclásico mundial: Boca-River será transmitido en directo para más de 130 países,World Superclassic: Boca-River will be broadcast live to more than 130 countries,0.0
2022-09-11,ambito,https://www.ambito.com/,Boca - River: qué calles estarán cortadas por el Superclásico,Boca - River: which streets will be cut off by the Superclásico,-0.2732
2022-09-11,ambito,https://www.ambito.com/,Banderazo Millonario: los hinchas de River acompañan al plantel en la previa al superclásico,Millionaire banner: River fans accompany the squad in the run-up to the superclassic,0.0
2022-09-11,ambito,https://www.ambito.com/,Superclásico: los últimos 10 enfrentamientos entre Boca y River,Superclásico: the last 10 clashes between Boca and River,0.0
2022-09-11,ambito,https://www.ambito.com/,Clave para ahorristas: seis alternativas para poner a trabajar los dólares,Key for savers: six alternatives to put dollars to work,0.0
2022-09-11,ambito,https://www.ambito.com/,¿Qué nos separa del uso de criptomonedas en el mercado chileno?,What separates us from the use of cryptocurrencies in the Chilean market?,0.0
2022-09-11,ambito,https://www.ambito.com/,Se derrumbó el dólar en Argentina: ¿qué pasó?,The dollar collapsed in Argentina: what happened?,-0.2732
2022-09-11,ambito,https://www.ambito.com/,Conmoción en el política por el atentado a Cristina,Commotion in politics for the attack on Cristina,-0.4767
2022-09-11,ambito,https://www.ambito.com/,"Dólar soja, debate en los Quinchos","Soybean dollar, debate in the Quinchos",0.0
2022-09-11,ambito,https://www.ambito.com/,El mercado espera una reunión clave del Banco Central,The market awaits a key meeting of the Central Bank,0.0772
2022-09-11,ambito,https://www.ambito.com/,"Spotify: según un informe, los jóvenes escuchan podcast y música retro para aliviar el estrés","Spotify: According to a report, young people listen to podcasts and retro music to relieve stress",-0.0772
2022-09-11,ambito,https://www.ambito.com/,Gaming: una industria multimillonaria y el sueño de vivir de los videojuegos,Gaming: a multi-million dollar industry and the dream of living from video games,0.25
2022-09-11,ambito,https://www.ambito.com/,Inclusión financiera: crearon un sistema de pago que no necesita Internet y son furor,Financial inclusion: they created a payment system that does not need the Internet and they are all the rage,-0.3818
2022-09-11,ambito,https://www.ambito.com/,"Sergi Ramo, de groWZ Consultants: El Metaverso es la respuesta al ecommerce","Sergi Ramo, from groWZ Consultants: The Metaverse is the answer to ecommerce",0.0
2022-09-11,ambito,https://www.ambito.com/,Neuquén: una app contra el maltrato animal sumó 2.800 denuncias en dos años,"Neuquén: an app against animal abuse added 2,800 complaints in two years",-0.7845
2022-09-11,ambito,https://www.ambito.com/,YouTube: los creadores de contenido podrán ofrecer cursos pagos dentro de la plataforma,YouTube: content creators will be able to offer paid courses within the platform,0.0
2022-09-11,ambito,https://www.ambito.com/,"
 ",,0.0
