,Date,^MERV
0,2022-09-12,144714.09375
1,2022-09-13,142941.59375
2,2022-09-14,146750.0
3,2022-09-15,144765.59375
4,2022-09-16,145741.796875
5,2022-09-19,150262.09375
6,2022-09-20,147929.796875
7,2022-09-21,146980.09375
8,2022-09-22,149480.796875
9,2022-09-23,142931.703125
10,2022-09-26,138148.296875
11,2022-09-27,135472.703125
12,2022-09-28,138023.40625
13,2022-09-29,138004.5
14,2022-09-30,139115.09375
15,2022-10-03,145063.0
16,2022-10-04,144926.703125
17,2022-10-05,146722.90625
18,2022-10-06,144645.296875
19,2022-10-11,136982.40625
